rcid,mean_beta,q025,q975
4533,0.07558434958171019,-0.019433128470171254,0.16525434015708312
4534,-0.6020988020812813,-0.999462168283251,-0.28898012143441587
4556,-0.8192157402604954,-1.0691959339079617,-0.5628771916050366
4564,-1.2179883899090904,-1.9299597590859072,-0.6479684968064731
4586,-1.0267044915672168,-1.3729645578733283,-0.6797034261839875
4587,-1.102009509854845,-1.5007452749888226,-0.73433257961924
4590,-1.8256412252751102,-2.873817399511491,-0.8702609284878127
4599,-1.1839855275818794,-1.649407803177569,-0.79313537697887
4600,-1.1225632344156669,-1.5061813143293898,-0.7717924361956782
4606,0.5710514571700884,0.4179067106641935,0.7328041864809821
4610,-0.5785100156283458,-1.124308572313115,-0.24261018867003303
4624,0.0052165900020733425,-0.09863883094785961,0.11952184968474656
4634,-0.7945319933670109,-1.049202962007458,-0.5082053433269477
4645,-0.8038227432012431,-1.0538799484807289,-0.5468027309651815
4661,-1.132073140483104,-1.546963256255054,-0.798796845943758
4662,-1.1601304102580134,-1.5510956327956356,-0.8203738955209022
4664,-1.7729658632165022,-2.9177442261232343,-0.9237638002915728
4668,-1.639759474860748,-2.550599544909766,-0.7838395568225255
4673,-1.0606913228292232,-1.4295300960164783,-0.7052159829235254
4674,-1.0750822279864263,-1.4749774093673038,-0.7193762409663519
4676,0.0602462319364214,-0.031041240825839832,0.1412812136372807
4689,-0.9026316872718576,-1.54679940296909,-0.40818609515270926
4705,-0.7722568618683335,-1.0275388494729378,-0.5476260253512009
4723,0.5968411733732673,0.42155604970226207,0.7700335442569995
4724,0.4347283906570209,0.26711796207307636,0.5953755119621121
4725,0.36165127505455763,0.23594027631970435,0.4901626388946104
4730,-0.9716582676400539,-1.261975507462563,-0.6645696816917788
4745,-1.0257577896743189,-1.392173343437204,-0.6833509736092982
4749,0.375830649280934,0.22467319355026502,0.4995855579010506
4754,-1.2757759359185834,-2.1344996852635534,-0.5443222010389139
4780,-1.198171147037324,-1.5579716415179374,-0.8104921692988356
4781,-1.1997198758985237,-1.635127349096798,-0.8278389589479196
4789,-0.8716441435399572,-1.1067585535652487,-0.6105920783709616
4807,0.4315249848640701,0.2968618726277585,0.5720903172976822
4813,0.356207235904562,0.2427064902304765,0.4828135264710508
