country,session_idx,year,mean_theta,q025,q975
IRN,26,2000,0.9954288683626531,0.5310142680637249,2.00959677087093
IRN,27,2001,1.0057574601082169,0.5150209016627606,2.2381088743611297
IRN,28,2002,0.990608973178963,0.5299709655592696,2.0214478251683126
IRN,29,2003,0.9830678504580647,0.5550572709350413,2.0887864433669647
IRN,30,2004,0.9806591026546366,0.5387351470214419,1.842829099098626
IRN,31,2005,0.9674326157164603,0.5438775655894891,1.9017744122323879
IRN,32,2006,0.9886214267679719,0.5422396723334775,1.8925876601268283
IRN,33,2007,0.9778105979386977,0.5481243204237893,1.8351145141379623
IRN,34,2008,0.9925571934005186,0.5118643196268907,2.0682824620968874
IRN,35,2009,0.9940061881492437,0.5808235821586213,2.076230114463473
IRN,36,2010,0.9987928390361692,0.5392786977613785,1.9210278789026745
IRN,37,2011,1.0079204422074668,0.49908763060859185,1.9622871281032843
IRN,38,2012,1.018239064408809,0.4901068420228933,2.248190221435421
IRN,39,2013,1.0137045597261278,0.5298357761607027,2.120942461326892
IRN,40,2014,1.006988764720242,0.46459319775505636,2.2114154687856247
IRN,41,2015,1.0150210370653228,0.5626791746128428,2.0666588434829816
IRN,42,2016,0.9981906467603433,0.5396590799890595,2.099552792623065
IRN,43,2017,0.9879324840642799,0.49321890222737186,1.9105911794487138
IRN,44,2018,1.0023942670921233,0.5283998586779426,2.2121006874817897
IRN,45,2019,0.9851619891977871,0.5194415411213718,2.084366830351435
IRN,46,2020,0.987379010598061,0.478565355157815,2.0473195777622486
IRN,47,2021,1.0011651723829744,0.4711630724835137,2.246322836573845
IRN,48,2023,0.9980236991079738,0.40847178200061707,2.0794659549261274
IRN,49,2023,1.0163900726051365,0.3671664431402236,2.1585412832457065
IRN,50,2024,1.016829187947322,0.36112201839829655,2.2513763192275627
IRN,51,2025,1.0159591677445692,0.31304924688912295,2.455351480659543
IRQ,0,1974,0.5751421587940206,0.032401716870789854,1.1341220193108301
IRQ,1,1975,0.6059033039498664,0.08822940292506258,1.1087658510941225
IRQ,2,1976,0.6230613464453302,0.2840892995609961,1.0382039624195825
IRQ,3,1977,0.654087846400878,0.323619594371678,1.1496675647453494
IRQ,4,1978,0.6783428435735184,0.3669334123497218,1.144234115814753
IRQ,5,1979,0.7301554030145504,0.46057017951553625,1.198162413534103
IRQ,6,1980,0.7439153263302657,0.42725731016082164,1.3253587609799824
IRQ,7,1981,0.7705273015490788,0.4423861622235078,1.3535872104184112
IRQ,8,1982,0.7874108874462352,0.4440682411715161,1.3719588807767265
IRQ,9,1983,0.8087164136931583,0.48838328911336487,1.6323370698252548
IRQ,10,1984,0.8051991029839416,0.4737862281479561,1.3636996927799843
IRQ,11,1985,0.8003642527232143,0.44984621384620516,1.3038880984263113
IRQ,12,1986,0.7982451910780367,0.45509694496737707,1.3994079221494364
IRQ,13,1987,0.8146464925067007,0.5006289438323905,1.4519604503476984
IRQ,14,1988,0.8345245551635663,0.45767104238494155,1.5511992162738202
IRQ,15,1989,0.8488321431914937,0.4582952019434624,1.755179662911387
IRQ,16,1990,0.8376517665226059,0.4552926114851788,1.6831723730443913
IRQ,17,1991,0.8272683721982851,0.44547892312850124,1.698219913370502
IRQ,18,1992,0.7814285322202501,0.39215864194639466,1.5443840942943634
IRQ,19,1993,0.7669771665028637,0.31257108574735243,1.8440131849862342
IRQ,20,1994,0.7742056163218709,0.3354954538470984,1.4792354521797264
IRQ,21,1995,0.7904746171723654,0.2732050737913505,1.6842111635511035
IRQ,22,1996,0.7880525428798222,0.287876035223162,1.6782743321985332
IRQ,23,1997,0.8031664264471208,0.24097916504705727,1.8355080308642915
IRQ,24,1998,0.8172713896798375,0.23459089694892574,1.9544112189656235
IRQ,25,1999,0.8216756543684279,0.27802579689832496,1.8618489870142754
IRQ,26,2000,0.8677300572391397,0.23766933125251383,2.0665073242559986
IRQ,27,2001,0.8718191516643428,0.24174484107258648,2.0246034658945384
IRQ,28,2002,0.8991641248213575,0.3838129784279883,2.209843544310204
IRQ,29,2003,0.9084288585303558,0.4077643214578459,1.9865132510131953
